id,file,llm_sparql,llm_entity,model_entity,model_sparql,benchmark,shape_type,dataset_type,annotation,baseline_run,num_questions,max_retries,prompt_tokens,completion_tokens,total_tokens,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,total_retries,avg_retries,tp,fp,fn,invalid,precision,recall,f1_score,accuracy,ena
7,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_7/experiment_nr_7_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,False,False,50,9,141394,3293,144687,2827.88,65.86,2893.74,11,0.22,8,15,22,5,0.35,0.27,0.30,17.78,4.21
4,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_4/experiment_nr_4_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shacl,dbpedia,False,False,50,9,248596,1847,250443,4971.92,36.94,5008.86,2,0.04,11,7,22,10,0.61,0.33,0.43,27.50,7.15
5,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_5/experiment_nr_5_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shex,dbpedia,False,False,50,9,102795,1808,104603,2055.90,36.16,2092.06,0,0.00,13,9,18,10,0.59,0.42,0.49,32.50,9.79
9,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_9/experiment_nr_9_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,True,False,50,9,560529,3399,563928,11210.58,67.98,11278.56,12,0.24,9,14,22,5,0.39,0.29,0.33,20.00,3.98
8,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_8/experiment_nr_8_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,False,False,50,9,423753,3189,426942,8475.06,63.78,8538.84,9,0.18,11,17,17,5,0.39,0.39,0.39,24.44,5.27
2,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_2/experiment_nr_2_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/corporate/qald_dbpedia.json,shacl,dbpedia,False,False,50,9,259366,2273,261639,5187.32,45.46,5232.78,9,0.18,10,12,10,18,0.45,0.50,0.48,31.25,7.12
6,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_6/experiment_nr_6_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,True,False,50,9,176750,2851,179601,3535.00,57.02,3592.02,4,0.08,8,16,21,5,0.33,0.28,0.30,17.78,4.63
1,Experiment_Results/logs/16-05-2025/KG_Agent_MK2_1/experiment_nr_1_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/corporate/qald_dbpedia.json,shex,dbpedia,False,False,50,9,123273,2657,125930,2465.46,53.14,2518.60,23,0.46,12,15,5,18,0.44,0.71,0.55,37.50,7.55
5,Experiment_Results/logs/17-05-2025/KG_Agent_MK2_5/experiment_nr_5_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/corporate/qald_dbpedia.json,shex,dbpedia,False,False,50,9,165880,5309,171189,3317.60,106.18,3423.78,23,0.46,8,12,12,18,0.40,0.40,0.40,25.00,4.84
2,Experiment_Results/logs/17-05-2025/KG_Agent_MK2_2/experiment_nr_2_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,None,dbpedia,None,True,50,9,15870,3199,19069,317.40,63.98,381.38,8,0.16,11,9,20,10,0.55,0.35,0.43,27.50,9.18
6,Experiment_Results/logs/17-05-2025/KG_Agent_MK2_6/experiment_nr_6_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/corporate/qald_corporate.json,shex,corporate_graphs,False,False,50,9,152296,4842,157138,3045.92,96.84,3142.76,15,0.30,5,26,18,1,0.16,0.22,0.19,10.20,2.24
1,Experiment_Results/logs/17-05-2025/KG_Agent_MK2_1/experiment_nr_1_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/corporate/qald_dbpedia.json,None,dbpedia,None,True,50,9,28604,5013,33617,572.08,100.26,672.34,34,0.68,10,16,6,18,0.38,0.62,0.48,31.25,6.58
3,Experiment_Results/logs/17-05-2025/KG_Agent_MK2_3/experiment_nr_3_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,None,wikidata,None,True,50,9,15793,3541,19334,315.86,70.82,386.68,11,0.22,5,26,14,5,0.16,0.26,0.20,11.11,3.52
10,Experiment_Results/logs/21-05-2025/KG_Agent_MK2_10/experiment_nr_10_summary.txt,google,google,gemini-2.5-pro-preview-05-06,gemini-2.5-pro-preview-05-06,/root/benchmark/corporate/qald_corporate.json,shex,corporate_graphs,False,False,50,9,178590,1725,207704,3571.80,34.50,4154.08,20,0.40,7,23,19,1,0.23,0.27,0.25,14.29,4.93
4,Experiment_Results/logs/18-05-2025/KG_Agent_MK2_4/experiment_nr_4_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shex,dbpedia,False,False,50,9,161046,5845,166891,3220.92,116.90,3337.82,24,0.48,12,9,19,10,0.57,0.39,0.46,30.00,5.75
2,Experiment_Results/logs/18-05-2025/KG_Agent_MK2_2/experiment_nr_2_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/corporate/qald_dbpedia.json,shacl,dbpedia,False,False,50,9,244834,4864,249698,4896.68,97.28,4993.96,20,0.40,7,9,16,18,0.44,0.30,0.36,21.88,4.22
1,Experiment_Results/logs/18-05-2025/KG_Agent_MK2_1/experiment_nr_1_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/corporate/qald_corporate.json,shacl,corporate_graphs,False,False,50,9,224863,6594,231457,4497.26,131.88,4629.14,17,0.34,3,17,29,1,0.15,0.09,0.12,6.12,1.25
3,Experiment_Results/logs/18-05-2025/KG_Agent_MK2_3/experiment_nr_3_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shacl,dbpedia,False,False,50,9,226812,4821,231633,4536.24,96.42,4632.66,11,0.22,10,11,19,10,0.48,0.34,0.40,25.00,5.59
1,Experiment_Results/logs/14-05-2025/KG_Agent_MK2_1/experiment_nr_1_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/corporate/qald_corporate.json,shacl,corporate_graphs,False,False,50,9,188072,5231,193303,3761.44,104.62,3866.06,3,0.06,8,15,26,1,0.35,0.24,0.28,16.33,4.29
7,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_7/experiment_nr_7_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,None,dbpedia,None,True,50,9,45362,7919,53281,907.24,158.38,1065.62,60,1.20,5,10,25,10,0.33,0.17,0.22,12.50,1.88
4,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_4/experiment_nr_4_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,True,False,50,9,464105,3560,467665,9282.10,71.20,9353.30,13,0.26,15,7,23,5,0.68,0.39,0.50,33.33,6.66
5,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_5/experiment_nr_5_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/corporate/qald_corporate.json,None,corporate_graphs,None,True,50,9,35906,8506,44412,718.12,170.12,888.24,58,1.16,0,3,46,1,0.00,0.00,0.00,0.00,0.00
8,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_8/experiment_nr_8_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,None,wikidata,None,True,50,9,25232,4394,29626,504.64,87.88,592.52,29,0.58,1,17,27,5,0.06,0.04,0.04,2.22,0.51
2,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_2/experiment_nr_2_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,False,False,50,9,176008,2823,178831,3520.16,56.46,3576.62,14,0.28,11,11,23,5,0.50,0.32,0.39,24.44,5.37
6,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_6/experiment_nr_6_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/corporate/qald_dbpedia.json,None,dbpedia,None,True,50,9,46869,7103,53972,937.38,142.06,1079.44,69,1.38,5,10,17,18,0.33,0.23,0.27,15.62,2.16
1,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_1/experiment_nr_1_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,True,False,50,9,162537,2641,165178,3250.74,52.82,3303.56,2,0.04,14,4,27,5,0.78,0.34,0.47,31.11,8.50
3,Experiment_Results/logs/19-05-2025/KG_Agent_MK2_3/experiment_nr_3_summary.txt,groq,groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,False,False,50,9,415710,3781,419491,8314.20,75.62,8389.82,15,0.30,9,12,24,5,0.43,0.27,0.33,20.00,3.92
27,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_27/experiment_nr_27_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/corporate/qald_corporate.json,None,corporate_graphs,None,True,50,9,17983,4625,22608,359.66,92.50,452.16,15,0.30,0,0,49,1,0.00,0.00,0.00,0.00,0.00
17,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_17/experiment_nr_17_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shex,dbpedia,False,False,50,9,92823,1430,94253,1856.46,28.60,1885.06,0,0.00,6,8,26,10,0.43,0.19,0.26,15.00,4.58
16,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_16/experiment_nr_16_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,shacl,dbpedia,False,False,50,9,187995,1440,189435,3759.90,28.80,3788.70,0,0.00,7,5,28,10,0.58,0.20,0.30,17.50,4.89
28,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_28/experiment_nr_28_summary.txt,deepseek,deepseek,deepseek-chat,deepseek-chat,/root/benchmark/corporate/qald_corporate.json,shex,corporate_graphs,False,False,50,9,144781,4696,149477,2895.62,93.92,2989.54,7,0.14,8,23,18,1,0.26,0.31,0.28,16.33,4.12
5,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_5/experiment_nr_5_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_corporate.json,shex,corporate_graphs,False,False,50,9,120710,2844,123554,2414.20,56.88,2471.08,2,0.04,11,18,20,1,0.38,0.35,0.37,22.45,6.36
20,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_20/experiment_nr_20_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,False,False,50,9,118100,1621,119721,2362.00,32.42,2394.42,2,0.04,10,13,22,5,0.43,0.31,0.36,22.22,6.32
25,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_25/experiment_nr_25_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_dbpedia.json,None,dbpedia,None,True,50,9,13480,1812,15292,269.60,36.24,305.84,3,0.06,8,9,23,10,0.47,0.26,0.33,20.00,7.59
22,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_22/experiment_nr_22_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,True,False,50,9,413748,1409,415157,8274.96,28.18,8303.14,0,0.00,15,10,20,5,0.60,0.43,0.50,33.33,8.50
21,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_21/experiment_nr_21_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shacl,wikidata,False,False,50,9,340074,1636,341710,6801.48,32.72,6834.20,2,0.04,8,16,21,5,0.33,0.28,0.30,17.78,4.46
19,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_19/experiment_nr_19_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,shex,wikidata,True,False,50,9,147323,1509,148832,2946.46,30.18,2976.64,1,0.02,12,8,25,5,0.60,0.32,0.42,26.67,7.53
15,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_15/experiment_nr_15_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_dbpedia.json,shacl,dbpedia,False,False,50,9,202055,1641,203696,4041.10,32.82,4073.92,2,0.04,7,3,22,18,0.70,0.24,0.36,21.88,5.83
11,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_11/experiment_nr_11_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_corporate.json,shacl,corporate_graphs,False,False,50,9,281542,7072,288614,5630.84,141.44,5772.28,34,0.68,6,12,31,1,0.33,0.16,0.22,12.24,1.94
26,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_26/experiment_nr_26_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/QALD_9_plus/data/qald_9_plus_test_wikidata.json,None,wikidata,None,True,50,9,13891,1760,15651,277.82,35.20,313.02,4,0.08,4,7,34,5,0.36,0.11,0.16,8.89,3.30
24,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_24/experiment_nr_24_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_dbpedia.json,None,dbpedia,None,True,50,9,15650,2195,17845,313.00,43.90,356.90,9,0.18,10,10,12,18,0.50,0.45,0.48,31.25,10.37
14,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_14/experiment_nr_14_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_dbpedia.json,shex,dbpedia,False,False,50,9,99662,1925,101587,1993.24,38.50,2031.74,13,0.26,7,8,17,18,0.47,0.29,0.36,21.88,5.25
23,Experiment_Results/logs/13-05-2025/KG_Agent_MK2_23/experiment_nr_23_summary.txt,openai,openai,gpt-4o-mini,gpt-4o-mini,/root/benchmark/corporate/qald_corporate.json,None,corporate_graphs,None,True,50,9,35765,6610,42375,715.30,132.20,847.50,70,1.40,0,3,46,1,0.00,0.00,0.00,0.00,0.00
